                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.641,                0.70755,                 1.8185,                 0.9613,                0.96423,                0.98907,                0.78888,                 1.5766,                0.64516,                 1.8429,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6815,                0.72953,                 1.8428,                0.98238,                0.95688,                  0.988,                0.79598,                 1.5453,                0.64379,                 1.8298,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.624,                0.69824,                 1.8222,                 0.9842,                0.95422,                0.98963,                0.79506,                 1.5454,                 0.6093,                 1.8253,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6329,                0.70123,                 1.8252,                0.96299,                0.96776,                0.98937,                0.79509,                 1.5551,                0.63432,                  1.832,               0.000713,               0.000713,               0.000713
                     67,                  1.636,                 0.7113,                 1.8197,                0.97222,                0.95124,                0.98691,                0.79511,                 1.5557,                0.64519,                 1.8293,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6112,                0.69375,                 1.8195,                0.96706,                 0.9671,                 0.9895,                0.79822,                 1.5443,                0.62774,                  1.823,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6004,                0.70727,                 1.8241,                0.97397,                 0.9636,                0.98666,                0.79406,                 1.5348,                0.62151,                 1.8202,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6093,                0.68844,                 1.8113,                0.96824,                0.95953,                0.98867,                0.80341,                 1.5161,                0.62729,                 1.8164,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5741,                0.67333,                 1.7939,                0.96675,                0.96137,                0.99009,                 0.8008,                 1.5212,                 0.6209,                 1.8209,               0.000614,               0.000614,               0.000614
                     72,                   1.58,                0.68062,                 1.8026,                0.97381,                0.95741,                 0.9869,                0.79582,                 1.5353,                0.60249,                 1.8226,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6036,                0.69358,                 1.8162,                0.97709,                0.96137,                0.98933,                0.80656,                 1.5168,                0.60123,                 1.8116,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5648,                0.66866,                 1.8038,                0.97293,                0.96567,                0.98973,                0.79497,                 1.5665,                0.61945,                 1.8291,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.566,                0.66313,                 1.8082,                0.97268,                0.96782,                 0.9895,                0.79953,                 1.5458,                 0.6085,                 1.8219,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5686,                0.66486,                 1.7973,                 0.9756,                0.97229,                0.99095,                0.81472,                 1.4836,                0.58615,                 1.8057,               0.000515,               0.000515,               0.000515
                     77,                 1.5705,                0.65914,                 1.8086,                0.98392,                0.96267,                0.99025,                0.80796,                 1.5153,                0.59757,                 1.8167,              0.0004952,              0.0004952,              0.0004952
